parameter_value,n_total,n_success,success_rate,physical_time_mean,physical_time_sem,biased_time_mean,biased_time_sem,acceleration_factor_mean,acceleration_factor_sem,integration_steps_mean,integration_steps_sem,n_deposited_gaussians_mean,n_deposited_gaussians_sem
1e-05,10,10,1.0,0.9898265654817464,0.15378507159015856,0.9897,0.15379026482698946,1.0001626755943962,7.37699044929797e-05,989.7,153.79026482698944,49.0,7.710022337480251
1.4070559893652868e-05,10,10,1.0,1.3002201843075176,0.13912355232689236,1.3,0.13905306740793444,1.0001440347927282,5.100789555380149e-05,1300.0,139.05306740793444,64.6,7.005077523561827
1.9798065572087262e-05,10,10,1.0,0.8425817827906782,0.19463500169477793,0.8422999999999998,0.19458605922430428,1.0007313075728341,0.0004542105473966681,842.3,194.58605922430428,41.7,9.729736778442557
2.785698674105207e-05,10,10,1.0,0.8045032906856289,0.1599400155618197,0.8042,0.15987236575885566,1.000393072344621,9.783158259686462e-05,804.2,159.87236575885566,39.8,8.003887944132039
3.919634003966669e-05,10,10,1.0,1.0691834061998267,0.31415239255837535,1.0689,0.31405896297068514,1.0003308628209189,0.00010317478358823622,1068.9,314.0589629706852,52.9,15.73774655618353
5.515144501401154e-05,10,10,1.0,0.6742093321284063,0.0862031914561069,0.6737,0.08613001154585369,1.000778810795798,0.00015371972793375976,673.7,86.13001154585368,33.3,4.341146801889514
7.760117102911523e-05,10,10,1.0,0.6273495427264504,0.17187621665610148,0.6267,0.17161727768496968,1.0024722511089585,0.0012627191948645694,626.7,171.6172776849697,30.8,8.577489920328285
0.0001091891924782,10,10,1.0,1.3301377881165872,0.2119714433187165,1.3283,0.21148559446606915,1.0012431053826913,0.00016912627001330557,1328.3,211.48559446606916,65.9,10.568769506848414
0.0001536353072505,10,10,1.0,0.6970413955097455,0.19097996574459428,0.6960000000000001,0.1907059400112004,1.0016178747521984,0.00021288912370912594,696.0,190.70594001120037,34.2,9.49245314271641
0.0002161734792448,10,10,1.0,0.9409851620065156,0.18127692249360658,0.9385,0.1805120648476316,1.0023659564285998,0.0002804178769415102,938.5,180.51206484763156,46.4,8.995307418624197
0.0003041681887133,10,10,1.0,1.1106273059272422,0.198005885835383,1.1063,0.197066996504009,1.0036900677352103,0.0002985794143834686,1106.3,197.06699650400904,54.9,9.849365461794989
0.0004279816717035,10,10,1.0,0.9197366351010101,0.12026113278903862,0.9158,0.11947931480665037,1.0039944451881904,0.0003638889262698206,915.8,119.47931480665038,45.2,5.984795550207022
0.0006021941745089,10,10,1.0,1.2166800971034823,0.26075012481195736,1.2053,0.257183118937979,1.007648492006631,0.0009911250481095056,1205.3,257.18311893797903,59.8,12.84073379696209
0.0008473209200037,10,10,1.0,1.9827353283694364,0.2944692655952633,1.9485000000000003,0.2857563550377217,1.0147682332701213,0.0023677905692401986,1948.5,285.7563550377217,97.0,14.229078208607422
0.0011922279754058,10,10,1.0,2.2870346387984553,0.6552775573382997,2.2021,0.613083870463269,1.0253862082206804,0.005373127096135838,2202.1,613.0838704632688,109.7,30.66849632223052
0.0016775315134835,10,10,1.0,1.2861785608671863,0.29594047493265635,1.2482000000000002,0.28144578321390584,1.0230057936680903,0.003855513894941718,1248.2,281.4457832139058,61.9,14.10551507586857
0.0023603807633961,10,10,1.0,1.718972340284267,0.7822189210610763,1.5661,0.6663249699325065,1.0393270414830118,0.015336758374611684,1566.1,666.3249699325062,77.9,33.3464807405186
0.0033211878903191,10,10,1.0,1.9707633239806537,0.41845228548197994,1.8023,0.36861193234439205,1.069751160592106,0.01348898980520121,1802.3,368.611932344392,89.6,18.421726303471125
0.0046730973128809,10,10,1.0,1.8896864952381,0.3418794368131892,1.7078,0.2933461663859498,1.0869940668569036,0.013242119919578464,1707.8,293.3461663859498,84.9,14.747090108447383
0.0065753095629759,10,10,1.0,2.5283972561289003,0.6651839141119814,2.0267000000000004,0.45509207981584465,1.1656234293199412,0.041014046169338556,2026.7,455.09207981584467,100.9,22.759344845091164
0.0092518287025162,10,10,1.0,1.9314607605244878,0.4403179363209401,1.5566,0.32525703340247347,1.182926787791052,0.03353304143548335,1556.6,325.2570334024735,77.2,16.26912549722463
0.0130178409884571,10,10,1.0,4.642000485307543,2.074871151486924,2.5255,0.6674904285622547,1.4672686684510279,0.1574939214592434,2525.5,667.4904285622546,125.8,33.34393164846907
0.0183168311314135,10,10,1.0,2.455427802606166,0.6687784957374014,1.5425,0.3415531274763692,1.4023673290845107,0.10073495882825308,1542.5,341.5531274763692,76.6,17.037344602698834
0.0257728069496479,10,10,1.0,2.0577592315611026,0.5690318978838581,1.2837999999999998,0.25664323702585873,1.436635738656355,0.09615382682059723,1283.8,256.64323702585875,63.6,12.835887191776035
0.0362637823812574,10,10,1.0,5.432323958064023,1.1335841766021477,1.9686,0.24810240717180568,2.477920475644878,0.2654437227574166,1968.6,248.10240717180565,97.9,12.416342277641816
0.0510251721965876,10,10,1.0,11.23458251629482,6.262616159019119,1.7551,0.45036470283044555,3.7876920913756194,1.2811927708873625,1755.1,450.36470283044554,87.2,22.526922164872463
0.0717952741476037,10,10,1.0,5.297641105360194,1.7098372727645623,1.3044,0.17794819470846002,3.413470326121973,0.701384895099792,1304.4,177.94819470846002,64.7,8.884505863830832
0.1010199704975086,10,10,1.0,16.47641363725959,9.13512992520304,1.1723000000000001,0.30772744253460543,7.410640152638338,3.0723142494438846,1172.3,307.7274425346054,58.2,15.395381702893168
