parameter_value,n_total,n_success,success_rate,physical_time_mean,physical_time_sem,biased_time_mean,biased_time_sem,acceleration_factor_mean,acceleration_factor_sem,integration_steps_mean,integration_steps_sem,n_deposited_gaussians_mean,n_deposited_gaussians_sem
0.1,10,10,1.0,21.202644303885272,11.297216500318756,3.2216,0.6389571051504337,4.274197795147873,1.4231044796245602,3221.6,638.9571051504336,160.4,31.942726523854812
0.1145047569938281,10,10,1.0,6.180319676151434,2.729728580823867,1.7108999999999999,0.4424193699295827,2.4342599271159417,0.5357584968095566,1710.9,442.41936992958256,85.0,22.107816616652933
0.1311133937421564,10,10,1.0,11.680298391706778,4.680524511333807,2.4272,0.49019614668234823,3.4457938630966725,0.7925833044585059,2427.2,490.1961466823482,120.9,24.48648153119957
0.1501310728908173,10,10,1.0,7.5740686779879836,3.717153620543418,1.6542000000000001,0.36209160289751113,3.1425700749770877,0.7961433507214133,1654.2,362.0916028975111,82.3,18.132873768686284
0.1719072201858574,10,10,1.0,10.286056894420042,3.3790536558582747,1.9163999999999999,0.36567663918336984,4.014208339073614,0.8100027362521873,1916.4,365.6766391833698,95.3,18.290890264464075
0.1968419447286612,10,10,1.0,15.050734906247488,7.24731235354586,1.6123,0.39779486757205235,5.498268860975321,1.8624379703813143,1612.3,397.79486757205234,80.1,19.851364352776024
0.225393390473479,10,10,1.0,11.132205179147032,4.697333209903311,1.6265999999999998,0.25187590418916833,5.162291368866389,1.5302516572717013,1626.6,251.87590418916832,80.7,12.543302772573275
0.2580861540418074,10,10,1.0,15.577048377848337,8.822771053188589,1.4808999999999999,0.25101644257786065,6.793913244061311,2.5648777965099985,1480.9,251.0164425778607,73.5,12.600044091633611
0.2955209235202887,10,10,1.0,9.299731293810275,3.787611446063516,1.3077,0.21411108487574076,5.412565121372839,1.3418061146298284,1307.7,214.11108487574074,64.7,10.658382199523109
0.3383855153428234,10,10,1.0,19.32120106052003,7.266896865000164,1.5668000000000002,0.23827662728667096,9.297597311898317,2.513750362275832,1566.8,238.27662728667096,77.8,11.943198901466891
0.3874675120456131,10,10,1.0,4.108269048545165,1.7298555321764488,0.7190999999999999,0.0958771725814973,4.644760187731714,1.4693198509208085,719.1,95.87717258149732,35.4,4.83551674821029
0.4436687330978612,10,10,1.0,219.60655900408065,192.6230275832675,1.5307,0.3217384047811375,66.08458425454995,52.8012386354557,1530.7,321.73840478113755,75.9,16.059922512612292
0.508021804691302,10,10,1.0,22.89411474742736,15.564585388371462,0.8141,0.1458560515637859,16.349162118225173,9.229920974239462,814.1,145.8560515637859,40.3,7.254194189111106
0.5817091329374358,10,10,1.0,97.38592451138948,48.145325863102045,1.2360000000000002,0.24352964683768763,47.426847911909036,20.682764406900723,1236.0,243.52964683768766,61.4,12.146512988416788
0.6660846290809157,10,10,1.0,13.787462064562527,6.446175959067611,0.702,0.15153151487396938,12.637089312405697,3.7475877621387514,702.0,151.53151487396934,34.6,7.547184905645282
0.7626985859023444,10,10,1.0,504.3779131909404,285.8879804175988,1.2482,0.21186918395819415,256.08954301975,137.03029712225697,1248.2,211.86918395819413,61.8,10.574392548878532
0.8733261623828433,10,10,1.0,42.81396108217028,24.511321645831945,0.8507,0.09480647540003677,37.14349457467407,17.780131119256307,850.7,94.80647540003677,42.1,4.747982027486343
1.0,10,10,1.0,2469.213725634007,2220.0174010782757,0.9078999999999999,0.18061945570114468,1351.1719989950484,1174.7591451632115,907.9,180.6194557011447,44.8,9.04040313752041
