parameter_name,parameter_value,replica,seed,success,physical_time,biased_time,acceleration_factor,integration_steps,n_deposited_gaussians,W,sigma
W,0.1,0,153284671,True,116.9822789720667,7.299,16.027165224286435,7299,364,0.1,0.1
W,0.1,1,2730575750,True,12.007920487054431,3.757,3.196145990698544,3757,187,0.1,0.1
W,0.1,2,3923090481,True,5.482910371961689,2.436,2.250784224943222,2436,121,0.1,0.1
W,0.1,3,3006209436,True,7.16364430960806,2.8970000000000002,2.472780224234746,2897,144,0.1,0.1
W,0.1,4,2658898818,True,9.02865546960866,3.18,2.8391998332102704,3180,158,0.1,0.1
W,0.1,5,2644251958,True,42.66860315642637,5.625,7.585529450031355,5625,281,0.1,0.1
W,0.1,6,903249358,True,1.1104994887155368,0.812,1.3676102077777545,812,40,0.1,0.1
W,0.1,7,1794576118,True,4.655566024504702,2.212,2.104686267859268,2212,110,0.1,0.1
W,0.1,8,1832491750,True,12.073761132642325,3.325,3.631206355681902,3325,166,0.1,0.1
W,0.1,9,1438676452,True,0.8526036262642709,0.673,1.2668701727552316,673,33,0.1,0.1
W,0.11450475699382819,0,2630781468,True,16.20290926997144,3.498,4.632049534011275,3498,174,0.11450475699382819,0.1
W,0.11450475699382819,1,3930027767,True,1.2814841479964845,0.922,1.38989603904174,922,46,0.11450475699382819,0.1
W,0.11450475699382819,2,1386224441,True,10.519657179690542,3.414,3.081328992293656,3414,170,0.11450475699382819,0.1
W,0.11450475699382819,3,453720082,True,0.428719930946791,0.36,1.1908886970744195,360,17,0.11450475699382819,0.1
W,0.11450475699382819,4,2499245037,True,1.2362205010796519,0.85,1.454377060093708,850,42,0.11450475699382819,0.1
W,0.11450475699382819,5,2178551423,True,1.2313536326005299,0.853,1.443556427433212,853,42,0.11450475699382819,0.1
W,0.11450475699382819,6,1298783806,True,1.2378260449250966,0.788,1.5708452346765185,788,39,0.11450475699382819,0.1
W,0.11450475699382819,7,2288117861,True,2.3719301539332425,1.248,1.9005850592413802,1248,62,0.11450475699382819,0.1
W,0.11450475699382819,8,617997319,True,1.503475746877435,1.008,1.491543399679995,1008,50,0.11450475699382819,0.1
W,0.11450475699382819,9,159637452,True,25.789620153493136,4.168,6.187528827613516,4168,208,0.11450475699382819,0.1
W,0.13111339374215644,0,2666071611,True,1.098276147514233,0.762,1.4413072802024056,762,38,0.13111339374215644,0.1
W,0.13111339374215644,1,3722645137,True,3.479080381220665,1.647,2.1123742448212903,1647,82,0.13111339374215644,0.1
W,0.13111339374215644,2,1194092501,True,40.58774228759339,5.064,8.0149570078186,5064,253,0.13111339374215644,0.1
W,0.13111339374215644,3,2469578571,True,6.318196320696354,2.492,2.5353917819808807,2492,124,0.13111339374215644,0.1
W,0.13111339374215644,4,1404467892,True,2.285402462704715,1.225,1.8656346634324201,1225,61,0.13111339374215644,0.1
W,0.13111339374215644,5,1945480923,True,37.19244207311115,4.657,7.986352173740853,4657,232,0.13111339374215644,0.1
W,0.13111339374215644,6,1609697787,True,6.933162631963149,2.533,2.737134872468673,2533,126,0.13111339374215644,0.1
W,0.13111339374215644,7,4115086520,True,0.6353576029245414,0.467,1.360508785705656,467,23,0.13111339374215644,0.1
W,0.13111339374215644,8,3527246706,True,13.100657365184079,3.366,3.8920550698704925,3366,168,0.13111339374215644,0.1
W,0.13111339374215644,9,2126959175,True,5.1726666441554965,2.059,2.5122227509254476,2059,102,0.13111339374215644,0.1
W,0.15013107289081734,0,570583126,True,1.236060813993384,0.757,1.6328412338089617,757,37,0.15013107289081734,0.1
W,0.15013107289081734,1,148441014,True,3.4976410427201077,1.502,2.328655820719113,1502,75,0.15013107289081734,0.1
W,0.15013107289081734,2,320290482,True,1.9354573993929838,1.092,1.7723968858910106,1092,54,0.15013107289081734,0.1
W,0.15013107289081734,3,3936157649,True,8.647317008697952,2.404,3.59705366418384,2404,120,0.15013107289081734,0.1
W,0.15013107289081734,4,2894557746,True,4.658020016138243,1.372,3.3950583208004685,1372,68,0.15013107289081734,0.1
W,0.15013107289081734,5,186689508,True,0.5299778605275629,0.41000000000000003,1.292628928116007,410,20,0.15013107289081734,0.1
W,0.15013107289081734,6,1125256227,True,39.30487796892155,4.0280000000000005,9.757914093575359,4028,201,0.15013107289081734,0.1
W,0.15013107289081734,7,1754178092,True,1.0926556016334896,0.748,1.4607695209003873,748,37,0.15013107289081734,0.1
W,0.15013107289081734,8,1356969031,True,2.5822961590067095,1.224,2.1097190841558087,1224,61,0.15013107289081734,0.1
W,0.15013107289081734,9,551078321,True,12.25638290884785,3.005,4.0786631976199175,3005,150,0.15013107289081734,0.1
W,0.17190722018585747,0,2613137997,True,1.7450843004073768,1.033,1.6893362056218557,1033,51,0.17190722018585747,0.1
W,0.17190722018585747,1,514238933,True,6.819653639199237,2.198,3.1026631661506996,2198,109,0.17190722018585747,0.1
W,0.17190722018585747,2,1525009248,True,9.205637313373874,2.0460000000000003,4.4993339752560475,2046,102,0.17190722018585747,0.1
W,0.17190722018585747,3,515296217,True,10.201083982601778,2.108,4.83922390066498,2108,105,0.17190722018585747,0.1
W,0.17190722018585747,4,4064192296,True,20.23557562716357,3.027,6.685026635997215,3027,151,0.17190722018585747,0.1
W,0.17190722018585747,5,1510416141,True,18.914751514578285,2.982,6.342975021656031,2982,149,0.17190722018585747,0.1
W,0.17190722018585747,6,2160202765,True,32.81506488387611,3.857,8.507924522653905,3857,192,0.17190722018585747,0.1
W,0.17190722018585747,7,330233616,True,0.7939669538659355,0.551,1.4409563591033312,551,27,0.17190722018585747,0.1
W,0.17190722018585747,8,3368320230,True,0.6661337965141102,0.494,1.348448980797794,494,24,0.17190722018585747,0.1
W,0.17190722018585747,9,4272357781,True,1.4636169326201454,0.868,1.6861946228342688,868,43,0.17190722018585747,0.1
W,0.19684194472866123,0,2461928491,True,11.465041046987336,2.191,5.232789158825804,2191,109,0.19684194472866123,0.1
W,0.19684194472866123,1,3758322525,True,7.18718480361984,1.687,4.260334797640688,1687,84,0.19684194472866123,0.1
W,0.19684194472866123,2,4178929994,True,0.770545015082429,0.47500000000000003,1.622200031752482,475,23,0.19684194472866123,0.1
W,0.19684194472866123,3,1268660428,True,0.7200014081839633,0.543,1.3259694441693615,543,27,0.19684194472866123,0.1
W,0.19684194472866123,4,4094834296,True,0.7063610390532593,0.495,1.4269919980873926,495,24,0.19684194472866123,0.1
W,0.19684194472866123,5,3359602030,True,43.64554145386922,3.3890000000000002,12.878589983437362,3389,169,0.19684194472866123,0.1
W,0.19684194472866123,6,3761150353,True,68.2289307595745,3.6390000000000002,18.74936267094655,3639,181,0.19684194472866123,0.1
W,0.19684194472866123,7,2498734786,True,15.625644111193425,2.473,6.318497416576395,2473,123,0.19684194472866123,0.1
W,0.19684194472866123,8,82162660,True,0.35763698634574176,0.281,1.2727294887748817,281,14,0.19684194472866123,0.1
W,0.19684194472866123,9,2017906061,True,1.8004624385651804,0.9500000000000001,1.8952236195422951,950,47,0.19684194472866123,0.1
W,0.22539339047347906,0,1839849435,True,5.917582396389486,1.807,3.274810401986434,1807,90,0.22539339047347906,0.1
W,0.22539339047347906,1,487218199,True,1.732730214329273,0.865,2.0031563171436684,865,43,0.22539339047347906,0.1
W,0.22539339047347906,2,2436070942,True,10.230745638989376,1.999,5.117931785387381,1999,99,0.22539339047347906,0.1
W,0.22539339047347906,3,1224871445,True,2.2254764060711723,0.9580000000000001,2.3230442652099916,958,47,0.22539339047347906,0.1
W,0.22539339047347906,4,1110799726,True,4.623957862293876,1.333,3.4688356056218126,1333,66,0.22539339047347906,0.1
W,0.22539339047347906,5,2416516313,True,22.136381140737818,2.779,7.965592350031601,2779,138,0.22539339047347906,0.1
W,0.22539339047347906,6,500304407,True,10.631781778699551,1.951,5.449401219220682,1951,97,0.22539339047347906,0.1
W,0.22539339047347906,7,2650482232,True,3.919580627041056,1.45,2.703159053131763,1450,72,0.22539339047347906,0.1
W,0.22539339047347906,8,1480075756,True,0.5339866199222271,0.34700000000000003,1.5388663398335072,347,17,0.22539339047347906,0.1
W,0.22539339047347906,9,4168257354,True,49.36982910699651,2.777,17.77811635109705,2777,138,0.22539339047347906,0.1
W,0.25808615404180746,0,1817578670,True,2.5844750510274466,1.093,2.3645700375365477,1093,54,0.25808615404180746,0.1
W,0.25808615404180746,1,2401145148,True,1.7569515803545919,0.656,2.678279848101512,656,32,0.25808615404180746,0.1
W,0.25808615404180746,2,2585254558,True,4.018136469936301,1.26,3.1889971983621432,1260,62,0.25808615404180746,0.1
W,0.25808615404180746,3,998474909,True,7.907098706208683,1.562,5.0621630641540865,1562,78,0.25808615404180746,0.1
W,0.25808615404180746,4,2299719174,True,8.116445815028992,1.585,5.120786003172866,1585,79,0.25808615404180746,0.1
W,0.25808615404180746,5,1798312952,True,2.4445185395001374,0.907,2.6951692828005926,907,45,0.25808615404180746,0.1
W,0.25808615404180746,6,2868413744,True,1.9999107140126502,0.8130000000000001,2.459914777383333,813,40,0.25808615404180746,0.1
W,0.25808615404180746,7,1670621469,True,90.31877662910838,3.285,27.494300343716404,3285,164,0.25808615404180746,0.1
W,0.25808615404180746,8,2225420033,True,33.13989707395057,2.328,14.235350976782893,2328,116,0.25808615404180746,0.1
W,0.25808615404180746,9,2114262222,True,3.4842731993555978,1.32,2.6396009086027257,1320,65,0.25808615404180746,0.1
W,0.2955209235202887,0,2211505595,True,8.367518028694981,1.8760000000000001,4.460297456660437,1876,93,0.2955209235202887,0.1
W,0.2955209235202887,1,4035840179,True,11.804183705929846,1.7890000000000001,6.598202183303435,1789,89,0.2955209235202887,0.1
W,0.2955209235202887,2,3610349761,True,8.544192164081776,1.337,6.390570055408958,1337,66,0.2955209235202887,0.1
W,0.2955209235202887,3,3244758666,True,1.3187436524464209,0.657,2.0072201711513253,657,32,0.2955209235202887,0.1
W,0.2955209235202887,4,79319472,True,0.892753386631019,0.445,2.0061873856876833,445,22,0.2955209235202887,0.1
W,0.2955209235202887,5,928755759,True,4.584697492528194,1.067,4.296811145762131,1067,53,0.2955209235202887,0.1
W,0.2955209235202887,6,3012612263,True,41.54362587897127,2.559,16.234320390375643,2559,127,0.2955209235202887,0.1
W,0.2955209235202887,7,2883515532,True,5.51968040183903,1.419,3.8898381972086185,1419,70,0.2955209235202887,0.1
W,0.2955209235202887,8,2979513518,True,9.651075974464597,1.479,6.52540633838039,1479,73,0.2955209235202887,0.1
W,0.2955209235202887,9,1811041116,True,0.7708422525156016,0.449,1.7167978897897584,449,22,0.2955209235202887,0.1
W,0.3383855153428234,0,3548753827,True,74.1558525233128,2.867,25.865313053126197,2867,143,0.3383855153428234,0.1
W,0.3383855153428234,1,4149750623,True,6.311547234097295,1.41,4.476274634111557,1410,70,0.3383855153428234,0.1
W,0.3383855153428234,2,2990110557,True,38.05718707575138,2.158,17.635397162072003,2158,107,0.3383855153428234,0.1
W,0.3383855153428234,3,1121062128,True,17.3492287612472,2.141,8.103329640937506,2141,107,0.3383855153428234,0.1
W,0.3383855153428234,4,3709028645,True,9.388193972316632,1.671,5.618308780560522,1671,83,0.3383855153428234,0.1
W,0.3383855153428234,5,3511970862,True,2.5364751611313925,0.89,2.8499720911588677,890,44,0.3383855153428234,0.1
W,0.3383855153428234,6,3664500454,True,1.6442763331591044,0.684,2.4039127677764682,684,34,0.3383855153428234,0.1
W,0.3383855153428234,7,2976295590,True,12.003773861636164,1.48,8.11065801461903,1480,73,0.3383855153428234,0.1
