dimension,epsilon,delta_t,seed,escaped,escape_index,target_hit,outer_hit,escape_time,attempted_steps,rejected_steps
2,0.45,0.004050000000000001,1117257062,True,1,False,True,0.09159495592556172,23,0
2,0.45,0.004050000000000001,1739813875,True,0,True,False,0.1112087663679018,28,0
2,0.45,0.004050000000000001,1419349886,True,1,False,True,0.09225546364206323,23,0
2,0.45,0.004050000000000001,1077354921,True,1,False,True,0.17709262700219902,44,0
2,0.45,0.004050000000000001,1178390433,True,1,False,True,0.1674687829723914,42,0
2,0.45,0.004050000000000001,1139688365,True,1,False,True,0.2720249203945414,68,0
2,0.45,0.004050000000000001,3613669329,True,1,False,True,0.047029442738654004,12,0
2,0.45,0.004050000000000001,4057879167,True,1,False,True,0.22568766705667215,56,0
2,0.45,0.004050000000000001,497110069,True,1,False,True,0.06282683605651868,16,0
2,0.45,0.004050000000000001,2986755770,True,0,True,False,0.1267077721069051,32,0
2,0.45,0.004050000000000001,3703391142,True,1,False,True,0.1102589533469384,28,0
2,0.45,0.004050000000000001,4075485789,True,1,False,True,0.24072370634595697,60,0
2,0.45,0.004050000000000001,1734295287,True,0,True,False,0.2346461108389058,58,0
2,0.45,0.004050000000000001,4050829272,True,0,True,False,0.039386085428082994,10,0
2,0.45,0.004050000000000001,863719853,True,1,False,True,0.24290332034017212,60,0
2,0.45,0.004050000000000001,251390282,True,0,True,False,0.49690193970554514,123,12
2,0.45,0.004050000000000001,3205418113,True,1,False,True,0.3392715022812622,84,0
2,0.45,0.004050000000000001,3442792960,True,1,False,True,0.07637089824917427,19,0
2,0.45,0.004050000000000001,217835889,True,0,True,False,0.04807345728228507,12,0
2,0.45,0.004050000000000001,2615534499,True,0,True,False,0.07315538394326578,19,0
2,0.45,0.004050000000000001,1478138432,True,0,True,False,0.056305447811186286,14,0
2,0.45,0.004050000000000001,2729924504,True,0,True,False,0.029152897790331988,8,0
2,0.45,0.004050000000000001,1768946074,True,1,False,True,0.09095852954729519,23,0
2,0.45,0.004050000000000001,704437506,True,1,False,True,0.0708295401136545,18,0
2,0.45,0.004050000000000001,1058117336,True,0,True,False,0.02037089532201609,6,0
2,0.45,0.004050000000000001,3737085062,True,1,False,True,0.15699862057688727,39,0
2,0.45,0.004050000000000001,722459123,True,0,True,False,0.031425448712995296,8,0
2,0.45,0.004050000000000001,532809295,True,0,True,False,0.029082277296872804,8,0
2,0.45,0.004050000000000001,2524652648,True,0,True,False,0.01910693239453753,5,0
2,0.45,0.004050000000000001,2400190629,True,1,False,True,0.1846894176660824,46,0
2,0.45,0.004050000000000001,697410702,True,1,False,True,0.39143245032156265,97,0
2,0.45,0.004050000000000001,1925496482,True,0,True,False,0.019736292455965795,5,0
2,0.45,0.004050000000000001,961428310,True,0,True,False,0.04611960121353319,12,0
2,0.45,0.004050000000000001,2752819375,True,1,False,True,0.10105650374299627,25,0
2,0.45,0.004050000000000001,905563065,True,1,False,True,0.09242056765524692,23,0
2,0.45,0.004050000000000001,3336728789,True,1,False,True,0.1274841035930342,32,0
2,0.45,0.004050000000000001,1115825419,True,0,True,False,0.034917116298769556,9,0
2,0.45,0.004050000000000001,4209236425,True,0,True,False,0.026984713448508484,7,0
2,0.45,0.004050000000000001,1958277543,True,1,False,True,0.9945434161204625,246,7
2,0.45,0.004050000000000001,2852859683,True,0,True,False,0.302146557171805,75,0
2,0.45,0.004050000000000001,2224261417,True,1,False,True,0.10000401458979905,25,0
